data	Mhyp	method	min_score_minus_CI	min_score	max_score	max_score_plus_CI
1	divAB_30-2	A_BC_O	HM	-19.8561585355803	0	40	73.0984841822477
2	divAB_30-2	A_BC_O	RBF:Mref=comb-root	-57.064972682026	7.63000000000011	22.75	99.8880304924231
3	divAB_30-2	A_BC_O	RBF:Mref=clade-root	-431.691472580569	-165.200000000001	532.400000000001	864.272306649713
4	divAB_30-2	A_BC_O	RBF:Mref=comb-ABC	-0.111755564630908	0.18234	3.79709	4.25149379805851
5	divAB_30-2	A_BC_O	RBF:Mref=clade-ABC	-672.582432552508	-514.199999999999	-106	67.3932155823866
6	divAB_30-2	AC_B_O	HM	-22.6584487212968	-10	10	21.2707874512875
7	divAB_30-2	AC_B_O	RBF:Mref=comb-root	-177.514335318815	-145.46	90.3899999999994	139.608515170004
8	divAB_30-2	AC_B_O	RBF:Mref=clade-root	-723.939901398124	-457	750.099999999999	1259.80708067379
9	divAB_30-2	AC_B_O	RBF:Mref=comb-ABC	-10.3781306264987	-9.52555	-0.101459999999999	0.576117157172525
10	divAB_30-2	AC_B_O	RBF:Mref=clade-ABC	-722.778894424293	-573.9	-149.400000000001	-23.452033378027
11	divAB_30-1	A_BC_O	HM	-12.7720409092517	0	20	52.2669076702432
12	divAB_30-1	A_BC_O	RBF:Mref=comb-root	-60.2357782232506	18.0500000000002	128.48	195.168749746865
13	divAB_30-1	A_BC_O	RBF:Mref=clade-root	-272.848339071559	-131	595.899999999998	877.321018164953
14	divAB_30-1	A_BC_O	RBF:Mref=comb-ABC	-2.38665679592119	-1.55223	2.68774	3.72182874097197
15	divAB_30-1	A_BC_O	RBF:Mref=clade-ABC	-198.727452876413	-73.2000000000007	324.700000000001	414.847355914026
16	divAB_30-1	AC_B_O	HM	-34.2482074089374	-20	-10	5.50004619187956
17	divAB_30-1	AC_B_O	RBF:Mref=comb-root	-173.174855103984	-97.0799999999999	-14.8200000000002	14.0968464075872
18	divAB_30-1	AC_B_O	RBF:Mref=clade-root	-630.358509207568	-488.099999999999	-264.700000000001	-108.261571318778
19	divAB_30-1	AC_B_O	RBF:Mref=comb-ABC	-12.0941512939798	-11.17615	-1.89594	-0.962038057097534
20	divAB_30-1	AC_B_O	RBF:Mref=clade-ABC	-321.626437915581	-211	172.1	342.067709100994
21	divAB_27-2	A_BC_O	HM	-26.8971744337591	-20	10	19.9315172120376
22	divAB_27-2	A_BC_O	RBF:Mref=comb-root	189.319679651508	219.03	420.15	450.199925958312
23	divAB_27-2	A_BC_O	RBF:Mref=clade-root	-179.027827003627	-20.7999999999993	1005.6	1563.86201498311
24	divAB_27-2	A_BC_O	RBF:Mref=comb-ABC	41.0780975475697	50.259	66.41068	72.5745513031984
25	divAB_27-2	A_BC_O	RBF:Mref=clade-ABC	115.291137107694	186.200000000001	353.299999999999	547.848151227401
26	divAB_27-2	AC_B_O	HM	-13.2508327772295	0	30	51.8883581369846
27	divAB_27-2	AC_B_O	RBF:Mref=comb-root	233.209363085584	267.42	336.3	360.283990937707
28	divAB_27-2	AC_B_O	RBF:Mref=clade-root	-194.322794418085	-22.2000000000007	422.400000000001	767.500525322696
29	divAB_27-2	AC_B_O	RBF:Mref=comb-ABC	41.0335703434837	50.2143	66.47606	72.6399182335331
30	divAB_27-2	AC_B_O	RBF:Mref=clade-ABC	-29.0983010749712	85.3000000000011	203.699999999999	363.573680096161
31	divAB_27-1	A_BC_O	HM	-28.9881171338814	-10	20	34.6062305795027
32	divAB_27-1	A_BC_O	RBF:Mref=comb-root	13.4592634598833	97.4200000000001	193.33	237.182091788963
33	divAB_27-1	A_BC_O	RBF:Mref=clade-root	380.565722682009	553.5	683	910.441629278811
34	divAB_27-1	A_BC_O	RBF:Mref=comb-ABC	10.4801948723728	11.90895	20.2461	22.8870119866751
35	divAB_27-1	A_BC_O	RBF:Mref=clade-ABC	-410.219879406516	-111.799999999999	631.5	733.550732108545
36	divAB_27-1	AC_B_O	HM	-36.3829999035586	-20	20	49.174996653669
37	divAB_27-1	AC_B_O	RBF:Mref=comb-root	48.8439895153582	140.85	256.68	322.666245787209
38	divAB_27-1	AC_B_O	RBF:Mref=clade-root	252.427632592436	514.5	741.099999999999	1146.0862673536
39	divAB_27-1	AC_B_O	RBF:Mref=comb-ABC	9.94966503844077	11.3544	18.72053	21.2295775301441
40	divAB_27-1	AC_B_O	RBF:Mref=clade-ABC	-530.42940797231	-287.200000000001	393.199999999999	552.17264785176
