McRef with Comb(ABC) as reference model -  	

simulation                                                               rbf_mean    rbf_bootstrap      hm_mean    hm_bootstrap
-------------------------------------------------------------------  ------------  ---------------  -----------  --------------
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AB_C_O/seed_12345  -1611.17           12.6938     1.45392e+06        21.5406
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AB_C_O/seed_54321  -1601.25           14.4798     1.45388e+06         2.15855
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/A_BC_O/seed_12345     -1.45018         0.0745426  1.45391e+06         6.11137
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/A_BC_O/seed_54321     -1.23567         0.157835   1.45391e+06         4.95761
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AC_B_O/seed_12345     -0.962936        0.0813412  1.45391e+06         5.35342
/home/ron/Desktop/data_sets/M4.divAB_18-1/results/AC_B_O/seed_54321     -1.11813         0.0983109  1.45392e+06         5.13496
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AB_C_O/seed_12345  -1310.6             7.1063     1.45394e+06         6.34931
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AB_C_O/seed_54321  -1254.58           13.4373     1.45397e+06        11.0923
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/A_BC_O/seed_12345     -1.85507         0.0570507  1.45394e+06         4.15699
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/A_BC_O/seed_54321     -1.6701          0.0630205  1.45398e+06        14.7936
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AC_B_O/seed_12345     -0.279517        0.736691   1.45395e+06         2.01231
/home/ron/Desktop/data_sets/M4.divAB_18-2/results/AC_B_O/seed_54321     -1.6662          0.168934   1.45396e+06         2.19782
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AB_C_O/seed_12345   -253.948           9.01537    1.45472e+06         4.55309
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AB_C_O/seed_54321   -294.303           3.48369    1.45475e+06        23.6376
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/A_BC_O/seed_12345     -1.76607         0.159003   1.45474e+06         7.0159
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/A_BC_O/seed_54321     -1.06971         0.0609435  1.45474e+06         8.71138
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AC_B_O/seed_12345     -1.82828         0.11876    1.45471e+06         2.49487
/home/ron/Desktop/data_sets/M4.divAB_24-1/results/AC_B_O/seed_54321     -1.83627         0.10178    1.45473e+06        12.034
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AB_C_O/seed_12345   -292.29            7.34103    1.45599e+06        12.5954
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/AB_C_O/seed_54321   -196.832           6.04627    1.456e+06          13.2324
/home/ron/Desktop/data_sets/M4.divAB_24-2/results/A_BC_O/seed_12345     -2.16152         0.10936    1.45602e+06        27.6154
